area,gisjoin1950,gisjoin2010
.47389901,G06003700537A,G0600370554101
.99949002,G06003700537A,G0600370554001
.000073183102,G06003700537A,G0600370551900
.091271698,G06003700537A,G0600370554103
.0071601402,G06003700541D,G0600370553503
.00027680901,G06003700541D,G0600370551502
.0026505301,G06003700541D,G0600370551102
.019729801,G06003700541D,G0600370551101
.00341468,G06003700541D,G0600370551800
.00459259,G06003700541D,G0600370553400
1.50924,G06003700541D,G0600370551300
.77679801,G06003700541D,G0600370551201
1.40039,G06003700541D,G0600370551202
1.29194,G06003700541D,G0600370551700
.00099265203,G06003700541D,G0600370536200
.0000484017,G06003700205,G0600370219010
.00308082,G06003700205,G0600370219020
.0012378599,G06003700205,G0600370231400
.0057475902,G06003700205,G0600370222001
.64948702,G06003700205,G0600370222002
.216474,G06003700005,G0600370121101
7.4355798,G06003700005,G0600370121102
.0154073,G06003700005,G0600370102107
.226441,G06003700005,G0600370122122
1.53021,G06003700005,G0600370980021
.038982201,G06003700005,G0600370121900
.0000143846,G06003700005,G0600370121210
.28196099,G06003700005,G0600370103300
.07801,G06003700005,G0600370122200
.0000739479,G06003700097,G0600370211121
.0073336898,G06003700097,G0600370191420
.0000218439,G06003700097,G0600370191500
.0083564296,G06003700097,G0600370192610
.51193798,G06003700097,G0600370192700
.0050017601,G06003700097,G0600370192620
.17443,G06003700101A,G0600370211202
.00024902,G06003700101A,G0600370192520
.0124309,G06003700101A,G0600370192620
.17335001,G06003700101A,G0600370211320
.138658,G06003700101A,G0600370211310
.016445501,G06003700101A,G0600370211420
.139368,G06003700101A,G0600370211201
.128931,G06003700101B,G0600370212102
.16786399,G06003700101B,G0600370212101
.092893802,G06003700101B,G0600370211922
.0064256801,G06003700101B,G0600370211803
.0083168596,G06003700101B,G0600370211320
.0052900701,G06003700101B,G0600370211310
.000237022,G06003700101B,G0600370211420
.0072010201,G06003700101B,G0600370211802
.13796499,G06003700101B,G0600370211910
.086904801,G06003700101B,G0600370211921
.0057307901,G06003700102,G0600370212101
.00473738,G06003700102,G0600370211202
.201915,G06003700102,G0600370211121
.365554,G06003700102,G0600370211122
.000193028,G06003700102,G0600370208610
.0024592699,G06003700102,G0600370208710
.00978461,G06003700102,G0600370192700
.00022657499,G06003700102,G0600370192620
.00021645799,G06003700102,G0600370195802
.0046051499,G06003700102,G0600370211320
.54723501,G06003700102,G0600370211120
.0057604099,G06003700102,G0600370211921
.00036417,G06003700170A,G0600370212101
8.9511695e-06,G06003700170A,G0600370208720
.00034158499,G06003700170A,G0600370209401
.000187709,G06003700170A,G0600370209510
.19085699,G06003700170A,G0600370212202
.0038837399,G06003700170A,G0600370212303
.212152,G06003700170A,G0600370212204
.106316,G06003700170A,G0600370212203
.0021846399,G06003700170A,G0600370212306
.0147889,G06003700170A,G0600370211120
.0049344902,G06003700170B,G0600370209510
.00145065,G06003700170B,G0600370209810
.0156182,G06003700170B,G0600370212202
.000617176,G06003700170B,G0600370212306
.380898,G06003700170B,G0600370213402
.195994,G06003700170B,G0600370213401
.00101148,G06003700170B,G0600370213320
.00970928,G06003700167,G0600370212306
.0099308901,G06003700167,G0600370212305
.00162524,G06003700167,G0600370213201
.00029246701,G06003700167,G0600370212420
.00129507,G06003700167,G0600370213202
.0000263322,G06003700167,G0600370213402
9.0413999e-07,G06003700167,G0600370213401
.30219901,G06003700167,G0600370213310
.30120301,G06003700167,G0600370213320
.0084354002,G06003700166,G0600370212501
.333318,G06003700166,G0600370213201
